state,cx,cy,x,y,w,h,tails,is_stemmed,is_filled,is_sharped,is_flatted,is_naturaled,is_dotted,staff_pitch,pitch,total_pixel,label,duration,beat,sample_rate
1,564,1147,541,1129,47,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4683.0,G,0.5,13.0,74167
1,565,1109,541,1090,47,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,4684.0,Bb,0.5,13.0,88200
1,689,1166,667,1147,47,41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4808.0,F,0.5,13.5,66075
1,691,1127,666,1108,48,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4810.0,A,0.5,13.5,83249
1,845,1572,822,1550,50,46,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-7.0,-12.0,4964.0,C,2.0,14.0,24750
1,845,1167,823,1147,47,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4964.0,F,1.0,14.0,66075
1,847,1127,823,1108,47,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4966.0,A,1.0,14.0,83249
1,988,1185,965,1166,48,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5107.0,E,1.0,15.0,62366
1,989,1147,965,1128,48,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,5108.0,G,1.0,15.0,74167
1,1211,1515,1188,1497,48,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,5330.0,F,1.0,16.0,33037
1,1212,1478,1188,1459,48,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,5331.0,A,1.0,16.0,41624
1,1212,1222,1187,1202,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5331.0,C,1.0,16.0,49500
1,1212,1166,1187,1145,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5331.0,F,1.0,16.0,66075
1,1373,1478,1350,1460,48,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,5492.0,A,0.5,17.0,41624
1,1374,1440,1350,1421,48,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5493.0,C,0.5,17.0,49500
1,1373,1166,1349,1145,50,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5492.0,F,0.5,17.0,66075
1,1522,1497,1498,1476,50,45,2.0,1.0,0.0,0.0,0.0,0.0,1.0,-3.0,-5.0,5641.0,G,0.375,17.5,37083
1,1523,1440,1498,1420,51,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5642.0,C,0.25,17.5,49500
1,1523,1184,1499,1166,48,38,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5642.0,E,0.25,17.5,62366
1,1523,1146,1499,1128,48,37,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,5642.0,G,0.25,17.5,74167
1,1678,1515,1654,1495,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,5797.0,F,1.0,17.75,33037
1,1679,1440,1654,1420,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5798.0,C,1.0,17.75,49500
1,1677,1166,1655,1146,47,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5796.0,F,1.0,17.75,66075
1,1679,1126,1656,1108,46,39,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0,5798.0,A,2.0,17.75,83249
1,1845,1534,1821,1513,50,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,-8.0,5964.0,E,0.5,17.875,31183
1,1970,1553,1946,1533,50,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.0,-10.0,6089.0,D,0.5,18.375,27781
1,2193,1572,2170,1550,49,46,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-7.0,-12.0,6312.0,C,2.0,18.75,24750
1,2194,1497,2170,1476,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,-5.0,6313.0,G,1.0,18.75,37083
1,2194,1184,2170,1164,50,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6313.0,E,1.0,18.75,62366
1,2195,1091,2170,1070,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,6314.0,C,1.0,18.75,99001
1,2364,1497,2339,1476,50,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,-5.0,6483.0,G,0.5,18.875,37083
1,2364,1184,2339,1164,51,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6483.0,E,0.5,18.875,62366
1,2364,1091,2339,1070,50,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,6483.0,C,0.5,18.875,99001
1,2514,1497,2489,1476,50,45,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,-5.0,6633.0,G,0.25,19.375,37083
1,2514,1184,2489,1164,51,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6633.0,E,0.25,19.375,62366
1,2514,1109,2489,1089,51,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,6633.0,Bb,0.25,19.375,88200
1,2668,1515,2644,1495,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,6787.0,F,1.0,19.625,33037
